Location,Order Id,Order #,Checks,Opened,# of Guests,Table,Revenue Center,Dining Area,Service,Dining Options,Discount Amount,Amount,Tax,Tip,Gratuity,Total,Voided,Paid,Closed,Duration (Opened to Paid),Order Source
3401 Harrisburg Boulevard Suite A,800000003870867395,94,94,8/4/23 9:34 PM,1,,Dining Room,,Dinner,,0.00,5.00,0.51,1.00,0.00,6.51,false,8/4/23 9:41 PM,8/4/23 9:41 PM,00:07:02,In Store
3401 Harrisburg Boulevard Suite A,800000003872132917,96,96,8/4/23 10:11 PM,1,,Dining Room,,Dinner,,0.00,12.00,1.23,1.80,0.00,15.03,false,8/4/23 10:15 PM,8/4/23 10:15 PM,00:04:24,In Store
3401 Harrisburg Boulevard Suite A,800000003872746814,97,97,8/4/23 10:24 PM,1,,Dining Room,,Dinner,,0.00,35.00,3.59,0.00,0.00,38.59,false,8/4/23 10:40 PM,8/4/23 10:40 PM,00:15:29,In Store
3401 Harrisburg Boulevard Suite A,800000003881873661,1,1,8/5/23 9:41 AM,1,,Dining Room,,,,0.00,11.00,1.13,2.20,0.00,14.33,false,8/5/23 12:22 PM,8/5/23 12:22 PM,02:40:25,In Store
3401 Harrisburg Boulevard Suite A,800000003882572113,2,2,8/5/23 12:38 PM,1,,Dining Room,,,,0.00,16.00,1.64,3.20,0.00,20.84,false,8/5/23 12:41 PM,8/5/23 12:41 PM,00:02:51,In Store
3401 Harrisburg Boulevard Suite A,800000003882711269,3,3,8/5/23 12:41 PM,1,,Dining Room,,,,0.00,47.00,4.82,0.00,0.00,51.82,false,8/5/23 12:48 PM,8/5/23 12:48 PM,00:06:45,In Store
3401 Harrisburg Boulevard Suite A,800000003883070553,4,4,8/5/23 12:50 PM,1,,Dining Room,,,,0.00,46.00,4.72,6.90,0.00,57.62,false,8/5/23 12:55 PM,8/5/23 12:55 PM,00:05:07,In Store
3401 Harrisburg Boulevard Suite A,800000003883280592,6,6,8/5/23 12:55 PM,1,,Dining Room,,,,0.00,11.00,1.13,2.42,0.00,14.55,false,8/5/23 1:14 PM,8/5/23 1:14 PM,00:18:34,In Store
3401 Harrisburg Boulevard Suite A,800000003883301571,7,7,8/5/23 12:56 PM,1,,Dining Room,,,,0.00,11.00,1.13,2.20,0.00,14.33,false,8/5/23 12:57 PM,8/5/23 12:57 PM,00:00:30,In Store
3401 Harrisburg Boulevard Suite A,800000003883498055,8,8,8/5/23 1:00 PM,1,,Dining Room,,,,0.00,27.00,2.77,5.94,0.00,35.71,false,8/5/23 1:36 PM,8/5/23 1:36 PM,00:35:37,In Store
3401 Harrisburg Boulevard Suite A,800000003883868514,9,9,8/5/23 1:09 PM,1,,Dining Room,,,,0.00,26.00,2.46,5.72,0.00,34.18,false,8/5/23 1:10 PM,8/5/23 1:10 PM,00:01:03,In Store
3401 Harrisburg Boulevard Suite A,800000003884171404,11,11,8/5/23 1:16 PM,1,,Dining Room,,,,0.00,6.00,0.62,1.32,0.00,7.94,false,8/5/23 1:17 PM,8/5/23 1:17 PM,00:00:58,In Store
3401 Harrisburg Boulevard Suite A,800000003884350920,10,10,8/5/23 1:14 PM,1,,Dining Room,,,,0.00,41.00,4.21,8.20,0.00,53.41,false,8/5/23 3:32 PM,8/5/23 3:32 PM,02:18:03,In Store
3401 Harrisburg Boulevard Suite A,800000003884721787,12,12,8/5/23 1:30 PM,1,,Dining Room,,,,0.00,17.00,1.75,2.55,0.00,21.30,false,8/5/23 1:31 PM,8/5/23 1:31 PM,00:01:03,In Store
3401 Harrisburg Boulevard Suite A,800000003884999394,13,13,8/5/23 1:31 PM,1,,Dining Room,,,,0.00,5.00,0.51,0.75,0.00,6.26,false,8/5/23 1:37 PM,8/5/23 1:37 PM,00:06:21,In Store
3401 Harrisburg Boulevard Suite A,800000003885019939,14,14,8/5/23 1:37 PM,1,,Dining Room,,,,0.00,6.00,0.62,0.90,0.00,7.52,false,8/5/23 1:38 PM,8/5/23 1:38 PM,00:00:43,In Store
3401 Harrisburg Boulevard Suite A,800000003885331038,15,15,8/5/23 1:44 PM,1,,Dining Room,,,,0.00,15.00,1.53,0.00,0.00,16.53,false,8/5/23 1:45 PM,8/5/23 1:45 PM,00:01:21,In Store
3401 Harrisburg Boulevard Suite A,800000003886309103,17,17,8/5/23 2:08 PM,1,,Dining Room,,,,0.00,30.00,3.08,4.50,0.00,37.58,false,8/5/23 2:11 PM,8/5/23 2:11 PM,00:02:34,In Store
3401 Harrisburg Boulevard Suite A,800000003886345538,18,18,8/5/23 2:08 PM,1,,Dining Room,,,,0.00,21.00,1.95,4.20,0.00,27.15,false,8/5/23 2:17 PM,8/5/23 2:17 PM,00:08:20,In Store
3401 Harrisburg Boulevard Suite A,800000003886409969,19,19,8/5/23 2:11 PM,1,,Dining Room,,,,0.00,10.00,0.82,2.00,0.00,12.82,false,8/5/23 2:12 PM,8/5/23 2:12 PM,00:00:48,In Store
3401 Harrisburg Boulevard Suite A,800000003886475901,20,20,8/5/23 2:13 PM,1,,Dining Room,,,,0.00,6.00,0.62,0.90,0.00,7.52,false,8/5/23 2:18 PM,8/5/23 2:18 PM,00:05:35,In Store
3401 Harrisburg Boulevard Suite A,800000003887010864,21,21,8/5/23 2:26 PM,1,,Dining Room,,,,0.00,3.00,0.31,0.00,0.00,3.31,false,8/5/23 2:31 PM,8/5/23 2:31 PM,00:05:17,In Store
3401 Harrisburg Boulevard Suite A,800000003887664799,22,22,8/5/23 2:41 PM,1,,Dining Room,,,,0.00,0.00,0.00,0.00,0.00,0.00,true,8/5/23 2:43 PM,8/5/23 2:43 PM,,In Store
3401 Harrisburg Boulevard Suite A,800000003888641040,23,23,8/5/23 2:44 PM,1,,Dining Room,,,,0.00,10.00,1.02,0.00,0.00,11.02,false,8/5/23 3:08 PM,8/5/23 3:08 PM,00:23:51,In Store
3401 Harrisburg Boulevard Suite A,800000003889395606,24,24,8/5/23 3:24 PM,1,,Dining Room,,,,0.00,53.00,5.44,0.00,0.00,58.44,false,8/5/23 3:28 PM,8/5/23 3:28 PM,00:03:48,In Store
3401 Harrisburg Boulevard Suite A,800000003890233441,26,26,8/5/23 3:47 PM,1,,Dining Room,,,,0.00,16.00,1.64,3.20,0.00,20.84,false,8/5/23 3:48 PM,8/5/23 3:48 PM,00:01:02,In Store
3401 Harrisburg Boulevard Suite A,800000003890427521,27,27,8/5/23 3:51 PM,1,,Dining Room,,,,0.00,12.00,1.24,1.80,0.00,15.04,false,8/5/23 3:56 PM,8/5/23 3:56 PM,00:04:48,In Store
3401 Harrisburg Boulevard Suite A,800000003890653101,28,28,8/5/23 3:56 PM,1,,Dining Room,,,,9.75,46.25,4.74,8.40,0.00,59.39,false,8/5/23 6:12 PM,8/5/23 6:12 PM,02:15:24,In Store
3401 Harrisburg Boulevard Suite A,800000003890728296,29,29,8/5/23 3:59 PM,1,,Dining Room,,,,0.00,6.00,0.62,0.00,0.00,6.62,false,8/5/23 3:59 PM,8/5/23 3:59 PM,00:00:23,In Store
3401 Harrisburg Boulevard Suite A,800000003891467436,31,31,8/5/23 4:15 PM,1,,Dining Room,,,,0.00,6.00,0.62,1.20,0.00,7.82,false,8/5/23 4:16 PM,8/5/23 4:16 PM,00:00:39,In Store
3401 Harrisburg Boulevard Suite A,800000003891526650,32,32,8/5/23 4:16 PM,1,,Dining Room,,,,0.00,21.00,1.95,0.00,0.00,22.95,false,8/5/23 4:18 PM,8/5/23 4:18 PM,00:01:57,In Store
3401 Harrisburg Boulevard Suite A,800000003891648701,33,33,8/5/23 4:16 PM,1,,Dining Room,,,,13.50,40.50,4.02,10.80,0.00,55.32,false,8/5/23 5:00 PM,8/5/23 5:00 PM,00:44:17,In Store
3401 Harrisburg Boulevard Suite A,800000003892563773,35,35,8/5/23 4:37 PM,1,,Dining Room,,,,3.50,10.50,1.09,0.00,0.00,11.59,false,8/5/23 4:38 PM,8/5/23 4:38 PM,00:01:00,In Store
3401 Harrisburg Boulevard Suite A,800000003894460275,38,38,8/5/23 5:01 PM,1,,Dining Room,,,,0.00,0.00,0.00,0.00,0.00,0.00,true,8/5/23 5:13 PM,8/5/23 5:13 PM,,In Store
3401 Harrisburg Boulevard Suite A,800000003894955353,39,39,8/5/23 5:15 PM,1,,Dining Room,,,,1.50,4.50,0.45,1.20,0.00,6.15,false,8/5/23 5:22 PM,8/5/23 5:22 PM,00:06:22,In Store
3401 Harrisburg Boulevard Suite A,800000003894983554,40,40,8/5/23 5:22 PM,1,,Dining Room,,,,0.00,2.00,0.20,0.00,0.00,2.20,false,8/5/23 5:22 PM,8/5/23 5:22 PM,00:00:15,In Store
3401 Harrisburg Boulevard Suite A,800000003895078030,41,41,8/5/23 5:22 PM,1,,Dining Room,,,,8.50,25.50,2.32,5.10,0.00,32.92,false,8/5/23 6:37 PM,8/5/23 6:37 PM,01:14:55,In Store
3401 Harrisburg Boulevard Suite A,800000003895236622,42,42,8/5/23 5:26 PM,1,,Dining Room,,,,2.00,6.00,0.62,1.60,0.00,8.22,false,8/5/23 5:27 PM,8/5/23 5:27 PM,00:01:09,In Store
3401 Harrisburg Boulevard Suite A,800000003896631353,43,43,8/5/23 5:47 PM,1,,Dining Room,,,,5.00,45.00,4.64,10.00,0.00,59.64,false,8/5/23 6:44 PM,8/5/23 6:44 PM,00:56:55,In Store
3401 Harrisburg Boulevard Suite A,800000003897394941,44,44,8/5/23 5:59 PM,1,,Dining Room,,,,0.00,96.00,9.85,19.20,0.00,125.05,false,8/5/23 10:55 PM,8/5/23 10:55 PM,04:55:37,In Store
3401 Harrisburg Boulevard Suite A,800000003898558381,46,46,8/5/23 6:20 PM,1,,Dining Room,,Dinner,,0.00,18.00,1.85,3.60,0.00,23.45,false,8/5/23 6:42 PM,8/5/23 6:42 PM,00:22:12,In Store
3401 Harrisburg Boulevard Suite A,800000003899771524,47,47,8/5/23 6:39 PM,1,,Dining Room,,Dinner,,0.00,16.00,1.64,0.00,0.00,17.64,false,8/5/23 6:41 PM,8/5/23 6:41 PM,00:01:49,In Store
3401 Harrisburg Boulevard Suite A,800000003899838047,48,48,8/5/23 6:41 PM,1,,Dining Room,,Dinner,,0.00,16.00,1.64,2.40,0.00,20.04,false,8/5/23 6:42 PM,8/5/23 6:42 PM,00:01:00,In Store
3401 Harrisburg Boulevard Suite A,800000003901030826,50,50,8/5/23 7:00 PM,1,,Dining Room,,Dinner,,0.00,53.00,4.82,10.60,0.00,68.42,false,8/5/23 7:45 PM,8/5/23 7:45 PM,00:45:35,In Store
3401 Harrisburg Boulevard Suite A,800000003901058573,51,51,8/5/23 7:00 PM,1,,Dining Room,,Dinner,,0.00,25.00,2.56,0.00,0.00,27.56,false,8/5/23 7:02 PM,8/5/23 7:02 PM,00:01:13,In Store
3401 Harrisburg Boulevard Suite A,800000003901086690,53,53,8/5/23 7:02 PM,1,,Dining Room,,Dinner,,0.00,36.00,3.69,0.00,0.00,39.69,false,8/5/23 7:02 PM,8/5/23 7:02 PM,00:00:32,In Store
3401 Harrisburg Boulevard Suite A,800000003901122762,54,54,8/5/23 7:02 PM,1,,Dining Room,,Dinner,,0.00,30.00,3.08,0.00,0.00,33.08,false,8/5/23 7:03 PM,8/5/23 7:03 PM,00:00:47,In Store
